TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
South Florida,Amer,31,8,90.9,96.1,0.3449,41.3,48.3,19.1,18.9,29.8,27,25.4,33.6,42.8,46.6,25.2,33.8,65,-12.9,N/A,N/A
Quinnipiac,MAAC,30,14,101.9,107.8,0.3444,50,50.6,18.7,17.2,28.6,28.6,27,27.2,49.2,47.6,34,37.1,68.9,-12.3,N/A,N/A
UMBC,AE,31,18,103.6,109.5,0.3441,52.6,52.8,16.2,16.6,21.9,28.8,31.1,19.7,48.9,52.7,38.3,35.2,68.3,-9.4,N/A,N/A
Siena,MAAC,29,15,97.8,103.6,0.339,48.7,49.1,18.4,17.3,24.5,28.5,28.9,29.2,46.3,48.7,35.6,33.3,66.3,-9.3,N/A,N/A
New Hampshire,AE,26,15,102.6,108.7,0.3382,50.9,50.4,14.8,14,27.9,21.9,25.4,26.6,48.1,49.8,36.6,34.2,61.9,-9.3,N/A,N/A
Rice,CUSA,31,16,103.9,110.2,0.3371,52.9,50.8,18.4,14.3,26.1,28.2,31.2,21.1,51.9,51.6,36.2,32.9,67.6,-9.6,N/A,N/A
LIU Brooklyn,NEC,29,16,98.9,105,0.3367,48.4,48.5,18.5,18.2,30.6,29.7,30.4,29.7,49.6,48.8,31,32,72.5,-8.6,N/A,N/A
Youngstown St.,Horz,32,19,103.1,109.4,0.3366,51,51,17.3,17.1,29.8,28.3,30.4,30.3,50.8,50.7,34.1,34.3,66.6,-10.4,N/A,N/A
The Citadel,SC,28,13,100.8,107.1,0.3324,52,50.4,17.1,13.8,23.7,29.4,29.9,26.3,51.7,50.9,34.8,33.1,70.4,-11.7,N/A,N/A
Montana,BSky,29,18,99.9,106.3,0.3282,50.2,51.8,15.7,19.1,18.1,26.8,38.5,42.8,49.9,49.9,33.9,37.5,65.3,-9.9,N/A,N/A
Howard,MEAC,26,16,99.3,105.7,0.3259,50.4,49.4,20.7,23.5,28,34.5,36.2,33.9,47.8,48.6,36.2,34,70.4,-9.5,N/A,N/A
Ball St.,MAC,30,14,101.2,108.1,0.3207,51.3,52.4,19.5,17.1,26.8,28.3,38.1,32.8,49.8,50.8,35.7,36.3,70,-12.2,N/A,N/A
Georgia Southern,SB,26,13,95.9,102.4,0.3203,47.8,48.2,21.1,18.9,27.7,31,31.6,35.5,50.1,47.3,29.2,33,66,-11.1,N/A,N/A
Tennessee Tech,OVC,30,11,100.5,107.3,0.32,49.2,51.5,18.9,18.1,30.9,30.5,24,24,49.2,53.4,32.9,32.4,69.1,-14.2,N/A,N/A
Elon,CAA,30,10,98.8,105.6,0.3188,49,50.6,19.9,16.6,25.4,28.8,25.9,43.8,48.6,49.9,33,34.5,66,-13.5,N/A,N/A
Lipscomb,ASun,30,14,101.6,108.7,0.3152,52.3,51.5,19,14.1,22.7,28,33.9,22.7,53.2,48.1,34,37.5,69.3,-12.4,N/A,N/A
Mount St. Mary's,NEC,29,14,95.4,102.2,0.3132,48.6,48.6,20.1,18.9,31,29.1,26.3,26.2,47.6,47.4,33.9,33.9,63.5,-11.2,N/A,N/A
Miami OH,MAC,29,14,103.7,111.1,0.3113,50.3,53.5,15,18,26,30.2,23.7,30.4,49.5,52.5,34.3,36.7,67.5,-13.2,N/A,N/A
Western Illinois,Sum,30,16,99.3,106.4,0.3109,49.6,52.9,15.9,17.3,28.8,22.7,29.4,31.4,49.8,51.3,33,37.4,70.5,-10.2,N/A,N/A
Portland St.,BSky,29,14,95.7,102.8,0.3058,47.1,52.7,17,23.4,26.1,31.8,31.6,39.4,48.4,51.2,29.7,36.7,70.6,-12.8,N/A,N/A
Eastern Kentucky,ASun,27,13,100.8,108.3,0.3055,48.4,54.6,15.6,22.3,28.7,31.8,21.7,28.1,46,56.6,33.9,34.4,71,-13.7,N/A,N/A
Tennessee St.,OVC,30,14,98,105.3,0.3032,49,50.1,19.8,19.7,29.7,28.6,30.4,39.2,47.6,49.8,34.6,33.7,67.4,-13.5,N/A,N/A
Pepperdine,WCC,31,7,97.8,105.2,0.3022,47.5,52.7,20.4,18,26.3,31,23.9,31.5,45.6,54.6,34.1,32.9,70.2,-15.3,N/A,N/A
Air Force,MWC,29,11,95.9,103.2,0.2992,50.9,51.5,21.5,20.3,19.6,29.4,26.8,38.9,51.6,53.8,33.3,31.2,63.2,-10.1,N/A,N/A
Louisiana Monroe,SB,28,13,100.7,108.6,0.2974,50.2,52.9,18.9,19.4,24.7,33.4,26,34.7,50.5,52,33.2,36.2,67.8,-11.9,N/A,N/A
USC Upstate,BSth,30,15,101.3,109.2,0.2968,51.3,51.6,18.7,17.8,22.3,30.8,29,38.3,49.3,52.8,36.4,33.3,68.5,-10.6,N/A,N/A
North Florida,ASun,28,11,96.5,104.4,0.2889,48.1,48.8,21.6,16.7,25.2,36.9,30.4,28.7,47.7,48,32.4,33.9,68.1,-11.7,N/A,N/A
UC San Diego,BW,27,13,101.1,109.6,0.2843,52,52.7,18.9,17.2,18.6,27.6,32.7,22,50.3,54.3,36,32.9,67.9,-11.6,N/A,N/A
Manhattan,MAAC,29,15,99.4,107.9,0.2786,48.3,52.2,20.5,19.9,30,30.9,41.4,34.7,50,52.9,29.9,33.9,68.5,-10.4,N/A,N/A
Presbyterian,BSth,29,12,95.3,103.7,0.2754,45.4,53.5,19.5,21.1,33.1,24.6,30.2,40.7,49,51,26.1,38.4,64.1,-14.2,N/A,N/A
Southeastern Louisiana,Slnd,30,19,102,111.3,0.2698,51.8,53.7,20,19.6,25.9,33.2,38.8,27.3,51.9,55.4,34.4,34,70.3,-8.9,N/A,N/A
Bowling Green,MAC,29,13,102.7,111.9,0.2697,48.6,53.5,16.5,17.3,29.9,30.7,31.9,30.8,48,53.1,33.1,36,72.7,-13.4,N/A,N/A
UMass Lowell,AE,28,15,94.8,103.4,0.269,48,48.9,18.3,19.5,29.2,29.9,26.5,32.5,49.3,45.6,30.2,37,67.6,-11.8,N/A,N/A
Radford,BSth,27,11,95.2,103.8,0.2688,46.5,52,20.6,20.2,28.9,26,27.8,37.4,47.7,51.3,29.8,35.4,64.3,-12.1,N/A,N/A
San Jose St.,MWC,30,8,98.4,107.4,0.2676,49.7,53.5,20,15.7,22,30.5,22.5,27,48.2,53.4,34.3,35.8,65.5,-13.6,N/A,N/A
Utah Tech,WAC,27,13,94.2,102.9,0.2664,46.5,50.9,21,17.8,26.7,28.9,35.2,30.7,47.8,51.7,29.5,33,71.6,-11.5,N/A,N/A
Illinois Chicago,Horz,29,14,99.7,109.1,0.263,51.1,51.6,17.2,16.8,25,27.2,22.9,34.2,53.3,50,32.4,37.4,68.9,-11.7,N/A,N/A
FIU,CUSA,30,15,96.8,105.9,0.2611,49.9,50.2,20.1,18.5,27,29.8,24.6,31.4,49,50.2,34,33.4,66.7,-12,N/A,N/A
Pacific,WCC,28,8,95.3,104.3,0.2604,46.2,54.9,17.4,18.7,22.6,22.6,32.3,28.1,45.8,52.1,31.4,39.2,68,-15.5,N/A,N/A
Prairie View A&M,SWAC,27,8,96.5,105.7,0.2601,48.4,51,24,20.6,31.7,34.2,38.5,44.8,46.8,49.6,34.5,35.7,70.7,-11.9,N/A,N/A
Canisius,MAAC,31,11,95.9,105.1,0.2582,45.4,51.5,16.9,17.8,28,26.3,30.2,32.2,45.5,53.7,30.2,31.2,68.3,-15,N/A,N/A
Hartford,AE,32,12,100.8,110.6,0.2567,53.3,51.6,18.2,16.5,23.8,28.4,27.6,28.9,51.5,50.4,36.9,35.7,67.1,-16,N/A,N/A
North Carolina A&T,BSth,29,12,96.4,105.9,0.2534,46.6,51,18.1,19.9,29.2,30.8,28.2,37.8,46.3,50.1,31.5,34.8,67.7,-14.5,N/A,N/A
Austin Peay,OVC,27,12,94.7,104.2,0.2489,46.6,52.5,21.3,20.9,29.5,30.4,25.7,36.1,46.9,54.1,30.8,33.2,64.6,-10.8,N/A,N/A
St. Thomas,Sum,27,10,105.9,116.6,0.2473,52,58.9,12.6,16.1,20.7,27.1,23.7,32.5,52.5,58,34.4,40.1,65.5,-15.8,N/A,N/A
Jackson St.,SWAC,30,11,93.1,102.6,0.2462,45.3,47.7,19.9,18.3,31.4,27.9,26.5,36.6,45.5,47.5,30,32.2,63.9,-12.7,N/A,N/A
Duquesne,A10,30,6,97.8,107.9,0.245,45.4,54,16.9,19,29.2,31.5,21.9,21.9,45.2,51.3,30.5,39.8,65.9,-16.4,N/A,N/A
New Orleans,Slnd,29,18,95.9,105.8,0.2445,49.4,50.1,19.3,19.7,26,30.8,42,32.8,50.4,51.1,30.8,32.3,71.9,-9.1,N/A,N/A
SIU Edwardsville,OVC,30,11,94.3,104,0.2432,46.7,49,21.6,19.2,31.1,30.6,34.5,37.6,48.1,48.7,29.5,33,68.4,-15.2,N/A,N/A
Loyola MD,Pat,29,14,94.4,104.6,0.2366,50.4,51.4,19.5,20.6,25.2,26.1,25,30.7,51.7,51.3,32.1,34.3,65.3,-12.1,N/A,N/A
Army,Pat,29,15,96.3,107,0.2289,48.8,52.8,18.9,19.4,29.8,27.2,32.1,22.9,49.3,51.6,31.9,36.4,69,-12.2,N/A,N/A
Central Arkansas,ASun,29,11,99.5,110.6,0.2289,48.2,54.8,18.8,16.4,26.2,30.9,23.1,29.8,50.3,55.8,29.5,35.3,72.1,-13,N/A,N/A
Cal St. Bakersfield,BW,25,8,96.7,107.5,0.2282,44.4,51.4,18,20.1,32,26.1,29.5,48,44.9,50.5,28.3,35.2,64.4,-13.8,N/A,N/A
Tennessee Martin,OVC,28,8,96.4,107.2,0.2276,46.1,50.8,19.4,18.4,29.8,31.8,26.3,37.2,47,51.2,29.7,33.4,69.1,-15.7,N/A,N/A
Merrimack,NEC,29,14,93.5,104.3,0.2212,48.6,49.1,18.5,22.6,22.5,36.2,26,33.9,47.8,48.8,33.3,33.2,62.2,-11.1,N/A,N/A
Albany,AE,31,13,91.7,102.3,0.2208,46.2,50.7,18.7,20.7,26.1,27.2,24.9,31.8,45.2,49.1,32.3,35.5,65.3,-12.8,N/A,N/A
Western Carolina,SC,31,11,98.2,109.7,0.2186,47.9,53.2,17.7,14.3,28.6,28.5,27.8,28.7,49,52.6,31.3,36,68.4,-14.1,N/A,N/A
Denver,Sum,30,11,99.1,110.7,0.2185,52.7,52.4,18.6,16.5,23.7,28.1,32,32.2,51.1,50.9,37.1,36.4,66.5,-16.2,N/A,N/A
Cal Poly,BW,27,7,93.2,104.2,0.2165,46.1,48.1,22.6,17,27.3,26.9,36.3,36.8,47.2,44.5,29.5,36.2,64.6,-16.4,N/A,N/A
Northern Illinois,MAC,30,9,92.4,103.5,0.2131,47.2,50.6,19.9,19.7,24.3,29.4,33,40.7,47,51.8,31.7,32.3,67,-14.7,N/A,N/A
Morgan St.,MEAC,24,13,93.6,105.1,0.2086,46.1,51.2,21.2,23.2,31.4,29.9,31,43.7,46.6,51,30,34.4,71.6,-10.8,N/A,N/A
Lehigh,Pat,31,13,97.5,109.5,0.2073,52.1,49.3,19.2,14.7,21.5,26.4,25.1,31.8,48.9,47.4,38.2,36.4,68.2,-14.5,N/A,N/A
Binghamton,AE,27,12,93.6,105.5,0.2031,48.8,49.9,18.8,15.9,26.7,27.1,23.2,30.1,47,49.6,34.7,33.6,67.1,-12.7,N/A,N/A
North Alabama,ASun,26,9,91.2,102.8,0.2022,43.2,50.2,17,18.9,25.5,29.9,23.8,40,42.8,50.1,29.2,33.7,67.6,-15.2,N/A,N/A
Eastern Michigan,MAC,30,10,94.5,106.6,0.2017,48.2,51.6,19.2,16.9,23.3,28.4,29.8,29.3,49.3,50.6,30.7,35.6,69.5,-15.4,N/A,N/A
Stetson,ASun,26,11,96.1,108.3,0.2011,48.8,53,19.5,16.1,28.2,27.5,25.6,26.8,46.5,53.5,34.9,34.9,65.5,-14.6,N/A,N/A
McNeese St.,Slnd,29,11,97.4,110.3,0.194,48.6,52,22,17.7,33.2,28.9,37.5,40.2,49.9,52,30.6,34.7,69.7,-16.4,N/A,N/A
Western Michigan,MAC,28,8,97.4,110.2,0.1934,49.3,53.4,20.3,15,27.2,32.3,24.3,29.8,48.9,55.3,33.2,33.8,64.2,-16.9,N/A,N/A
Florida A&M,SWAC,28,13,94.9,107.4,0.1927,46.1,48.2,18.7,18.5,25.7,34.4,29.8,38.9,46.6,46.4,29.7,34.3,65.4,-12.2,N/A,N/A
Robert Morris,Horz,31,8,99.1,112.5,0.1885,50.9,53.1,20.8,16.9,28.2,32.2,28.2,28.9,51.6,51.9,32.9,36.9,66.9,-18.7,N/A,N/A
UTSA,CUSA,28,10,93.9,106.8,0.1863,43.6,54.3,17.6,17,29.5,25.8,25.4,33,43.9,53,28.7,37.7,68.7,-15.7,N/A,N/A
Sacramento St.,BSky,27,11,95.4,108.5,0.1847,48.8,52.6,16.7,17.7,21.4,27.6,28.3,33.7,46.9,53.4,35.1,34.2,64.4,-14.1,N/A,N/A
Lafayette,Pat,29,10,97.3,111,0.1796,50.6,53.7,16.4,17.2,22.4,30,20.9,25.8,51.9,51.8,32.8,38,64.8,-15.4,N/A,N/A
UT Rio Grande Valley,WAC,29,8,98.5,112.6,0.1767,49.5,51.9,20.7,17.9,24.7,33.5,41.4,35.7,51.9,53.7,30.3,32.7,71.7,-16.3,N/A,N/A
North Carolina Central,MEAC,27,16,94.7,108.4,0.1743,47.7,50.5,23.8,22,32.6,30.5,37.8,43.4,48.3,51.4,31.1,32.9,67.6,-10.4,N/A,N/A
South Carolina St.,MEAC,28,15,92.3,105.7,0.1742,43.3,49.9,20.2,20.6,34.3,29,31.9,37.4,42.1,47.7,30.6,35.7,70.4,-12.5,N/A,N/A
Little Rock,SB,25,9,96.7,110.7,0.1733,47.9,56.3,20.3,20,23.5,30.6,32.3,31,46.6,55.5,33.3,38.4,66.8,-13.6,N/A,N/A
St. Francis NY,NEC,29,10,94.2,108,0.1713,46,51.9,17.9,18.9,29.4,29.8,23.3,32.4,45.4,52.7,31.3,33.3,66.7,-15.6,N/A,N/A
Central Michigan,MAC,30,7,95.1,109.1,0.1713,47.8,53,19.6,16.6,25.4,31.4,30.5,36,45.5,53.6,34.1,34.8,67.6,-16.1,N/A,N/A
Coppin St.,MEAC,32,9,89.8,103.2,0.1681,46,49.3,19.4,21.2,20.1,32,34.6,28.1,47.6,46.7,29.7,35.2,72.9,-16.7,N/A,N/A
Hampton,BSth,26,9,91.3,105.2,0.1642,44.1,47.4,18,16.2,22.1,31,36.5,37.9,44.1,48.8,29.3,29.8,68.9,-15.3,N/A,N/A
Maryland Eastern Shore,MEAC,24,11,88.6,102.1,0.1641,45.4,51,22,23.8,27.3,29.9,31,35.8,44.3,51.3,31.2,33.7,67.6,-11.4,N/A,N/A
Bucknell,Pat,32,9,100.7,116.1,0.1629,52.8,53.8,19.3,13.7,21.8,30,28.3,22.9,50.6,52.3,37.6,37.4,67.8,-18.4,N/A,N/A
Evansville,MVC,29,6,92,106.3,0.16,46.9,56.1,17.2,17.9,14.4,22.3,24.6,31,45.2,55.3,32.6,38.4,63.9,-16.4,N/A,N/A
Grambling St.,SWAC,30,12,92.1,106.4,0.1597,44.6,48.9,20,19.2,27.4,31.4,33.4,40.8,43.8,46.3,31.1,35.7,69.2,-13.6,N/A,N/A
Sacred Heart,NEC,29,10,100.3,116.1,0.1577,50.8,53.2,19.6,15.7,30.8,31.3,24.9,25.5,50.5,53.6,34.2,35,67.4,-16.7,N/A,N/A
St. Francis PA,NEC,29,9,94.5,109.5,0.1558,46.9,52.4,18.1,18.3,30.5,31.9,29.8,25.6,46.7,51.4,31.5,35.9,67.1,-16.6,N/A,N/A
Alabama St.,SWAC,30,10,95.8,111.1,0.1532,47.7,50.4,21.5,19.4,29.5,33.5,36.9,33.8,46.8,50.8,33,33.2,69.8,-14.3,N/A,N/A
Southern Miss,CUSA,31,7,94.9,110.5,0.1473,46.9,54.1,19.7,15.9,23.7,28.4,26.7,28.1,47,52.6,31,37.4,67.1,-18.9,N/A,N/A
Alabama A&M,SWAC,30,12,86.1,100.3,0.1471,41.3,46.3,19.6,19.6,28.7,31,33.5,28.6,41.5,45.2,27.1,32,66.6,-14,N/A,N/A
Idaho,BSky,29,9,97.5,114.1,0.1406,50.2,54.6,18.5,14.5,23.3,26.3,33.8,33.9,47.4,55.5,36.7,35.1,70.2,-17.7,N/A,N/A
Idaho St.,BSky,28,7,94.1,110.3,0.1387,47.4,53.2,21.1,16.7,27.6,27.5,33,35.2,49.6,54.5,29.6,34.1,63.9,-18.9,N/A,N/A
Green Bay,Horz,29,5,92.2,108.2,0.1381,46.5,53,19.9,18.1,26.6,28.7,32,31.7,48.9,53.6,28,34.7,64.5,-20.4,N/A,N/A
Northern Arizona,BSky,30,9,94.7,111.3,0.1359,47.9,53,20.4,13.8,28.9,23.5,27.7,34.1,45.4,52.2,34.3,36.3,65.3,-18,N/A,N/A
Milwaukee,Horz,31,10,91.7,107.9,0.1327,47.7,47.5,19.6,14.9,25.9,30.1,28,29.1,47.5,45.3,31.9,33.8,66.9,-17.8,N/A,N/A
Cal St. Northridge,BW,28,7,93.5,110.2,0.132,44.4,51.9,18.5,19.9,26.8,33,29.6,36.5,44,53.1,30.2,33.2,64.9,-17.4,N/A,N/A
Northwestern St.,Slnd,29,9,96.7,113.9,0.1317,49.5,53.2,20.1,17.1,27.8,32.2,25,34.1,48.4,54.4,34.4,34,71.2,-16.4,N/A,N/A
Bethune Cookman,SWAC,29,9,93.4,110.1,0.1306,45.4,51.5,19.7,20.4,27.9,30.9,28.8,35.5,43.7,52.7,33.7,32.9,66,-16.7,N/A,N/A
William & Mary,CAA,31,5,90.2,106.3,0.1304,46,53.6,23.1,17.9,27.1,27.7,30.3,27.2,45.5,55.7,31.1,33.7,68.9,-20.4,N/A,N/A
American,Pat,32,10,93.2,109.9,0.1302,49.6,53.3,20.2,17.4,25,29,25.6,28.9,49.6,53.9,33.1,34.7,65,-18.1,N/A,N/A
Chicago St.,WAC,32,7,95.6,113.1,0.1273,45.9,53.6,22,18.6,31.6,32.2,29.3,38.5,45.2,50,31.1,40.1,66.2,-18.1,N/A,N/A
Houston Christian,Slnd,25,11,95,113,0.1199,48.8,55.3,20.6,19.1,29.3,27.2,37.8,37.8,50.5,53.7,30.5,38.8,68.3,-14.3,N/A,N/A
Charleston Southern,BSth,28,6,92.9,111.3,0.111,46.2,55.4,21.4,17.3,26.2,25.7,28.4,30,47.1,56.1,30.1,36.1,69.2,-20,N/A,N/A
NJIT,AE,28,11,89.4,107.4,0.1087,46.5,51,18.7,16.7,23.2,27.9,31,27,45.1,51,32.6,34,66.2,-13.3,N/A,N/A
North Dakota,Sum,29,6,96.1,115.4,0.1084,47.2,56.3,17.5,13.6,26.8,25.8,31.6,30.5,44.7,55.8,33.5,38.1,67.4,-20.7,N/A,N/A
Fairleigh Dickinson,NEC,26,4,94.7,114.1,0.1049,46.4,53.8,19.3,18.1,27.7,34.1,27.8,34.1,45.2,54.5,32.4,35.1,69.6,-17.2,N/A,N/A
Nebraska Omaha,Sum,29,5,96.5,116.5,0.1028,49.3,56.3,19.3,14.7,24.6,30,28.3,37.4,46.9,54,35.8,39.9,69.8,-18.5,N/A,N/A
Lamar,WAC,27,2,90.9,110.6,0.0952,44.5,52.9,21.5,17.8,30,31.7,26.2,38.5,44.1,52.7,30.2,35.5,66,-21.1,N/A,N/A
Holy Cross,Pat,29,9,90.8,111.2,0.0887,45.1,53.2,18.2,17.6,27.3,29.4,28.6,30.8,43.2,52.7,33.1,36.1,67,-18.7,N/A,N/A
Arkansas Pine Bluff,SWAC,29,7,97.6,119.8,0.0864,46.6,55.5,19.5,18.7,24.8,36.3,33.6,34.6,48,56.1,29.8,36,67.4,-17.4,N/A,N/A
Mississippi Valley St.,SWAC,28,2,93.2,115.3,0.0801,44.5,56.7,18.1,20.7,23.4,33.9,31.4,36.5,43.8,55.1,30.5,40,70.8,-21.3,N/A,N/A
Incarnate Word,Slnd,29,7,94.4,116.7,0.0797,48.4,56.8,19.9,18,22.3,32.4,27.4,30,46.5,57.4,33.8,37.1,65,-19.4,N/A,N/A
Maine,AE,26,6,92.3,114.2,0.0792,46.9,54.9,19.3,18.3,24,30.4,20.4,32.8,47,53.3,31,38.6,66.1,-18.3,N/A,N/A
Columbia,Ivy,25,4,91.5,114.2,0.0725,48.5,54.8,21.5,16.4,27.5,28.8,26.1,25.1,46.4,53.4,34.9,37.8,69.6,-18.1,N/A,N/A
Central Connecticut,NEC,32,8,90,112.5,0.0712,46,52.9,20.6,18.8,26.3,31.8,29.1,28.8,42.6,53.3,34.2,34.8,65.1,-19,N/A,N/A
Delaware St.,MEAC,25,2,86.5,110.1,0.0587,45,51.1,25.6,19.3,27,34.7,32.4,34.2,43.4,48.6,32.2,36.1,68.1,-22.8,N/A,N/A
Eastern Illinois,OVC,29,5,83,108.4,0.0442,44.2,53.4,24.1,18.2,20.6,32.6,31.2,24.2,42.3,55.8,31.8,33.5,64.9,-20.3,N/A,N/A
IUPUI,Horz,27,3,80.4,109.2,0.0285,42.4,52.8,26.1,20.5,30.1,33,24.9,37.5,41.6,52.4,29.2,35.5,62.6,-22.4,N/A,N/A
